t [s];Tf [degC];P [W]
4740;19,03;9626
4800;19,04;9616
4860;19,06;9613
4920;19,08;9607
4980;19,10;9634
5040;19,12;9653
5100;19,14;9652
5160;19,16;9611
5220;19,18;9614
5280;19,20;9642
5340;19,21;9609
5400;19,20;9544
5460;19,22;9577
5520;19,24;9599
5580;19,25;9591
5640;19,27;9582
5700;19,29;9592
5760;19,30;9596
5820;19,31;9594
5880;19,33;9603
5940;19,34;9610
6000;19,37;9615
6060;19,39;9608
6120;19,39;9595
6180;19,39;9558
6240;19,40;9548
6300;19,42;9574
6360;19,43;9554
6420;19,44;9562
6480;19,46;9566
6540;19,47;9564
6600;19,50;9607
6660;19,51;9610
6720;19,53;9641
6780;19,54;9614
6840;19,56;9648
6900;19,56;9609
6960;19,58;9593
7020;19,60;9630
7080;19,62;9628
7140;19,62;9623
7200;19,63;9620
7260;19,64;9592
7320;19,66;9617
7380;19,67;9625
7440;19,69;9639
7500;19,70;9633
7560;19,71;9621
7620;19,72;9634
7680;19,73;9624
7740;19,75;9642
7800;19,77;9652
7860;19,78;9644
7920;19,79;9638
7980;19,80;9631
8040;19,82;9655
8100;19,82;9635
8160;19,83;9634
8220;19,84;9617
8280;19,85;9622
8340;19,86;9630
8400;19,87;9623
8460;19,88;9615
8520;19,89;9615
8580;19,91;9650
8640;19,92;9629
8700;19,92;9599
8760;19,94;9619
8820;19,95;9620
8880;19,96;9636
8940;19,95;9552
9000;19,94;9454
9060;19,96;9485
9120;19,97;9486
9180;19,98;9492
9240;20,00;9529
9300;20,01;9534
9360;20,03;9538
9420;20,04;9577
9480;20,03;9589
9540;20,05;9585
9600;20,06;9593
9660;20,08;9586
9720;20,09;9581
9780;20,10;9604
9840;20,12;9628
9900;20,12;9590
9960;20,14;9594
10020;20,15;9617
10080;20,16;9586
10140;20,17;9592
10200;20,20;9613
10260;20,19;9629
10320;20,19;9628
10380;20,19;9598
10440;20,20;9603
10500;20,22;9627
10560;20,24;9626
10620;20,24;9616
10680;20,25;9619
10740;20,27;9650
10800;20,28;9627
10860;20,28;9593
10920;20,29;9605
10980;20,30;9597
11040;20,32;9631
11100;20,33;9623
11160;20,34;9630
11220;20,34;9624
11280;20,35;9614
11340;20,36;9606
11400;20,37;9597
11460;20,38;9629
11520;20,39;9629
11580;20,40;9634
11640;20,41;9643
11700;20,42;9622
11760;20,43;9627
11820;20,44;9635
11880;20,44;9609
11940;20,46;9623
12000;20,47;9645
12060;20,47;9613
12120;20,48;9626
12180;20,49;9632
12240;20,49;9600
12300;20,51;9637
12360;20,51;9615
12420;20,52;9633
12480;20,52;9621
12540;20,53;9613
12600;20,54;9613
12660;20,54;9602
12720;20,55;9594
12780;20,56;9617
12840;20,57;9602
12900;20,58;9606
12960;20,59;9617
13020;20,60;9611
13080;20,60;9608
13140;20,61;9596
13200;20,62;9595
13260;20,63;9623
13320;20,64;9631
13380;20,65;9624
13440;20,66;9626
13500;20,66;9619
13560;20,67;9631
13620;20,67;9606
13680;20,68;9609
13740;20,67;9565
13800;20,68;9554
13860;20,69;9553
13920;20,70;9575
13980;20,71;9586
14040;20,71;9570
14100;20,73;9598
14160;20,74;9595
14220;20,74;9585
14280;20,76;9610
14340;20,77;9614
14400;20,78;9620
14460;20,78;9620
14520;20,79;9613
14580;20,80;9618
14640;20,80;9624
14700;20,81;9622
14760;20,82;9618
14820;20,83;9633
14880;20,84;9656
14940;20,84;9642
15000;20,84;9611
15060;20,85;9625
15120;20,86;9622
15180;20,85;9584
15240;20,87;9623
15300;20,87;9597
15360;20,87;9591
15420;20,88;9583
15480;20,88;9573
15540;20,89;9591
15600;20,90;9581
15660;20,90;9579
15720;20,91;9577
15780;20,92;9587
15840;20,93;9611
15900;20,96;9679
15960;20,92;9519
16020;20,92;9485
16080;21,00;9762
16140;21,00;9726
16200;20,96;9560
16260;20,98;9587
16320;20,99;9602
16380;20,99;9576
16440;20,99;9563
16500;21,00;9575
16560;21,02;9609
16620;21,02;9585
16680;21,03;9609
16740;21,04;9613
16800;21,04;9624
16860;21,04;9600
16920;21,05;9587
16980;21,06;9607
17040;21,07;9618
17100;21,07;9622
17160;21,08;9603
17220;21,08;9589
17280;21,09;9615
17340;21,10;9627
17400;21,11;9619
17460;21,11;9619
17520;21,12;9635
17580;21,13;9649
17640;21,13;9629
17700;21,14;9624
17760;21,15;9645
17820;21,16;9643
17880;21,16;9628
17940;21,16;9623
18000;21,17;9625
18060;21,18;9624
18120;21,18;9623
18180;21,19;9621
18240;21,19;9624
18300;21,20;9622
18360;21,20;9630
18420;21,21;9625
18480;21,22;9654
18540;21,24;9677
18600;21,24;9680
18660;21,24;9659
18720;21,24;9635
18780;21,25;9637
18840;21,26;9651
18900;21,27;9663
18960;21,27;9659
19020;21,27;9643
19080;21,28;9638
19140;21,28;9636
19200;21,28;9620
19260;21,29;9607
19320;21,30;9628
19380;21,31;9646
19440;21,31;9634
19500;21,32;9639
19560;21,32;9639
19620;21,32;9620
19680;21,33;9621
19740;21,34;9627
19800;21,35;9657
19860;21,35;9637
19920;21,35;9614
19980;21,36;9623
20040;21,36;9620
20100;21,37;9613
20160;21,37;9609
20220;21,38;9611
20280;21,39;9621
20340;21,39;9635
20400;21,40;9646
20460;21,41;9630
20520;21,41;9613
20580;21,41;9615
20640;21,41;9615
20700;21,42;9618
20760;21,42;9585
20820;21,43;9622
20880;21,44;9637
20940;21,40;9461
21000;21,41;9478
21060;21,42;9489
21120;21,43;9506
21180;21,44;9541
21240;21,45;9559
21300;21,46;9564
21360;21,47;9594
21420;21,48;9608
21480;21,49;9607
21540;21,49;9621
21600;21,50;9633
21660;21,51;9631
21720;21,51;9613
21780;21,51;9598
21840;21,52;9614
21900;21,52;9618
21960;21,52;9605
22020;21,53;9609
22080;21,53;9611
22140;21,54;9610
22200;21,54;9615
22260;21,54;9596
22320;21,55;9600
22380;21,56;9627
22440;21,57;9642
22500;21,56;9622
22560;21,57;9624
22620;21,58;9653
22680;21,59;9641
22740;21,59;9625
22800;21,60;9628
22860;21,60;9640
22920;21,61;9645
22980;21,61;9630
23040;21,61;9612
23100;21,61;9605
23160;21,62;9616
23220;21,62;9611
23280;21,62;9596
23340;21,64;9625
23400;21,64;9643
23460;21,65;9647
23520;21,64;9611
23580;21,65;9613
23640;21,66;9623
23700;21,66;9612
23760;21,66;9608
23820;21,67;9609
23880;21,67;9609
23940;21,68;9610
24000;21,68;9608
24060;21,69;9620
24120;21,69;9625
24180;21,70;9625
24240;21,71;9628
24300;21,71;9637
24360;21,71;9630
24420;21,72;9631
24480;21,73;9631
24540;21,72;9616
24600;21,73;9612
24660;21,73;9614
24720;21,74;9628
24780;21,74;9623
24840;21,75;9624
24900;21,75;9613
24960;21,75;9598
25020;21,76;9610
25080;21,77;9619
25140;21,77;9624
25200;21,77;9612
25260;21,78;9615
25320;21,79;9630
25380;21,79;9640
25440;21,80;9633
25500;21,80;9638
25560;21,81;9650
25620;21,81;9647
25680;21,81;9626
25740;21,82;9625
25800;21,81;9597
25860;21,81;9558
25920;21,81;9559
25980;21,81;9546
26040;21,81;9544
26100;21,82;9568
26160;21,83;9563
26220;21,83;9566
26280;21,84;9585
26340;21,85;9586
26400;21,85;9600
26460;21,86;9597
26520;21,86;9614
26580;21,87;9605
26640;21,87;9599
26700;21,87;9584
26760;21,88;9613
26820;21,89;9606
26880;21,89;9603
26940;21,89;9601
27000;21,90;9599
27060;21,90;9606
27120;21,91;9628
27180;21,92;9627
27240;21,92;9610
27300;21,92;9610
27360;21,93;9622
27420;21,93;9630
27480;21,93;9616
27540;21,94;9628
27600;21,94;9643
27660;21,94;9613
27720;21,94;9608
27780;21,95;9606
27840;21,95;9607
27900;21,95;9584
27960;21,95;9593
28020;21,96;9605
28080;21,97;9620
28140;21,96;9549
28200;21,96;9550
28260;21,97;9565
28320;21,98;9586
28380;21,98;9574
28440;21,99;9588
28500;21,99;9602
28560;22,00;9596
28620;22,00;9601
28680;22,00;9595
28740;22,01;9600
28800;22,01;9615
28860;22,02;9607
28920;22,02;9607
28980;22,03;9607
29040;22,03;9594
29100;22,03;9603
29160;22,05;9644
29220;22,04;9626
29280;22,05;9610
29340;22,05;9623
29400;22,05;9608
29460;22,06;9631
29520;22,06;9627
29580;22,07;9620
29640;22,07;9624
29700;22,07;9602
29760;22,07;9596
29820;22,07;9590
29880;22,07;9582
29940;22,07;9573
30000;22,08;9572
30060;22,08;9578
30120;22,09;9583
30180;22,09;9597
30240;22,10;9617
30300;22,11;9626
30360;22,11;9619
30420;22,11;9609
30480;22,11;9596
30540;22,12;9606
30600;22,12;9603
30660;22,13;9619
30720;22,13;9600
30780;22,13;9610
30840;22,13;9611
30900;22,14;9619
30960;22,14;9618
31020;22,14;9621
31080;22,15;9610
31140;22,15;9631
31200;22,15;9622
31260;22,16;9624
31320;22,16;9632
31380;22,16;9616
31440;22,16;9604
31500;22,17;9608
31560;22,17;9609
31620;22,18;9613
31680;22,18;9621
31740;22,18;9610
31800;22,18;9617
31860;22,19;9625
31920;22,19;9614
31980;22,19;9614
32040;22,20;9619
32100;22,21;9631
32160;22,21;9624
32220;22,22;9628
32280;22,23;9657
32340;22,23;9641
32400;22,23;9639
32460;22,23;9634
32520;22,23;9631
32580;22,24;9625
32640;22,24;9617
32700;22,24;9606
32760;22,24;9599
32820;22,24;9595
32880;22,25;9601
32940;22,25;9608
33000;22,25;9599
33060;22,26;9602
33120;22,26;9618
33180;22,27;9618
33240;22,27;9619
33300;22,27;9622
33360;22,28;9631
33420;22,28;9628
33480;22,28;9613
33540;22,29;9631
33600;22,29;9637
33660;22,30;9635
33720;22,30;9642
33780;22,30;9641
33840;22,31;9640
33900;22,31;9640
33960;22,31;9630
34020;22,31;9605
34080;22,32;9629
34140;22,33;9641
34200;22,33;9635
34260;22,33;9626
34320;22,33;9624
34380;22,33;9625
34440;22,34;9622
34500;22,34;9631
34560;22,34;9625
34620;22,35;9627
34680;22,35;9617
34740;22,35;9617
34800;22,36;9627
34860;22,36;9625
34920;22,36;9608
34980;22,37;9629
35040;22,37;9625
35100;22,38;9647
35160;22,38;9652
35220;22,38;9626
35280;22,38;9623
35340;22,39;9639
35400;22,39;9631
35460;22,39;9640
35520;22,39;9627
35580;22,40;9622
35640;22,40;9625
35700;22,40;9616
35760;22,41;9610
35820;22,41;9618
35880;22,42;9632
35940;22,42;9629
36000;22,42;9627
36060;22,42;9617
36120;22,42;9614
36180;22,43;9633
36240;22,43;9616
36300;22,43;9610
36360;22,44;9623
36420;22,44;9621
36480;22,44;9616
36540;22,45;9620
36600;22,45;9616
36660;22,45;9631
36720;22,45;9614
36780;22,46;9610
36840;22,46;9625
36900;22,46;9620
36960;22,46;9621
37020;22,47;9616
37080;22,47;9598
37140;22,47;9605
37200;22,48;9621
37260;22,48;9610
37320;22,48;9608
37380;22,48;9621
37440;22,48;9609
37500;22,49;9621
37560;22,49;9614
37620;22,49;9611
37680;22,50;9623
37740;22,50;9643
37800;22,51;9638
37860;22,51;9634
37920;22,51;9636
37980;22,52;9659
38040;22,52;9651
38100;22,52;9647
38160;22,53;9643
38220;22,53;9648
38280;22,53;9633
38340;22,53;9632
38400;22,53;9636
38460;22,53;9633
38520;22,53;9623
38580;22,54;9613
38640;22,54;9610
38700;22,54;9608
38760;22,54;9604
38820;22,54;9594
38880;22,55;9599
38940;22,56;9611
39000;22,56;9635
39060;22,57;9629
39120;22,57;9638
39180;22,57;9636
39240;22,58;9641
39300;22,58;9631
39360;22,58;9632
39420;22,59;9640
39480;22,59;9643
39540;22,59;9632
39600;22,59;9634
39660;22,59;9618
39720;22,60;9622
39780;22,59;9601
39840;22,59;9593
39900;22,60;9602
39960;22,60;9598
40020;22,60;9601
40080;22,60;9604
40140;22,61;9610
40200;22,61;9607
40260;22,61;9607
40320;22,62;9607
40380;22,62;9604
40440;22,62;9618
40500;22,63;9616
40560;22,63;9629
40620;22,63;9608
40680;22,64;9627
40740;22,64;9635
40800;22,64;9613
40860;22,65;9622
40920;22,65;9648
40980;22,65;9636
41040;22,65;9627
41100;22,66;9636
41160;22,66;9618
41220;22,66;9613
41280;22,66;9628
41340;22,67;9631
41400;22,67;9633
41460;22,67;9626
41520;22,67;9609
41580;22,67;9599
41640;22,67;9605
41700;22,68;9622
41760;22,68;9619
41820;22,68;9605
41880;22,68;9613
41940;22,69;9628
42000;22,69;9629
42060;22,69;9607
42120;22,70;9624
42180;22,70;9612
42240;22,70;9612
42300;22,70;9616
42360;22,71;9620
42420;22,71;9615
42480;22,71;9623
42540;22,72;9626
42600;22,72;9621
42660;22,72;9627
42720;22,72;9615
42780;22,72;9600
42840;22,73;9619
42900;22,74;9639
42960;22,74;9642
43020;22,74;9643
43080;22,74;9639
43140;22,74;9633
43200;22,75;9636
43260;22,75;9626
43320;22,75;9631
43380;22,75;9634
43440;22,76;9635
43500;22,76;9634
43560;22,76;9613
43620;22,76;9625
43680;22,76;9616
43740;22,77;9617
43800;22,76;9603
43860;22,77;9609
43920;22,77;9637
43980;22,78;9630
44040;22,78;9623
44100;22,78;9623
44160;22,78;9615
44220;22,78;9619
44280;22,79;9615
44340;22,79;9606
44400;22,79;9611
44460;22,79;9618
44520;22,79;9616
44580;22,80;9612
44640;22,80;9609
44700;22,81;9625
44760;22,80;9619
44820;22,81;9604
44880;22,81;9604
44940;22,82;9626
45000;22,82;9630
45060;22,82;9622
45120;22,82;9624
45180;22,83;9630
45240;22,83;9625
45300;22,83;9615
45360;22,83;9604
45420;22,83;9622
45480;22,83;9618
45540;22,83;9587
45600;22,83;9576
45660;22,83;9590
45720;22,84;9609
45780;22,84;9609
45840;22,85;9610
45900;22,84;9604
45960;22,85;9611
46020;22,85;9615
46080;22,86;9616
46140;22,86;9615
46200;22,86;9620
46260;22,86;9613
46320;22,86;9618
46380;22,86;9611
46440;22,87;9615
46500;22,86;9606
46560;22,87;9604
46620;22,87;9617
46680;22,88;9625
46740;22,88;9623
46800;22,88;9623
46860;22,88;9609
46920;22,88;9614
46980;22,89;9626
47040;22,89;9618
47100;22,89;9614
47160;22,89;9617
47220;22,90;9622
47280;22,90;9612
47340;22,90;9605
47400;22,90;9605
47460;22,90;9597
47520;22,90;9601
47580;22,90;9597
47640;22,91;9603
47700;22,91;9595
47760;22,91;9610
47820;22,92;9614
47880;22,92;9620
47940;22,92;9621
48000;22,92;9612
48060;22,93;9615
48120;22,93;9608
48180;22,93;9608
48240;22,93;9610
48300;22,94;9611
48360;22,94;9621
48420;22,94;9624
48480;22,94;9616
48540;22,94;9611
48600;22,94;9609
48660;22,95;9610
48720;22,95;9624
48780;22,96;9631
48840;22,95;9610
48900;22,95;9608
48960;22,96;9609
49020;22,96;9617
49080;22,96;9622
49140;22,96;9597
49200;22,97;9610
49260;22,97;9621
49320;22,97;9612
49380;22,97;9596
49440;22,97;9612
49500;22,98;9624
49560;22,98;9603
49620;22,98;9603
49680;22,99;9620
49740;22,99;9627
49800;22,99;9616
49860;22,99;9615
49920;23,00;9627
49980;23,00;9622
50040;23,00;9612
50100;23,00;9595
50160;23,00;9611
50220;23,00;9603
50280;23,00;9603
50340;23,00;9594
50400;23,01;9602
50460;23,01;9604
50520;23,01;9600
50580;23,01;9578
50640;23,02;9598
50700;23,01;9576
50760;23,02;9605
50820;23,02;9600
50880;23,02;9596
50940;23,03;9603
51000;23,03;9597
51060;23,03;9597
51120;23,03;9598
51180;23,03;9600
51240;23,03;9588
51300;23,03;9566
51360;23,04;9588
51420;23,05;9615
51480;23,04;9593
51540;23,04;9585
51600;23,05;9601
51660;23,05;9578
51720;23,05;9601
51780;23,06;9617
51840;23,06;9630
51900;23,07;9624
51960;23,06;9618
52020;23,07;9623
52080;23,07;9641
52140;23,08;9645
52200;23,08;9645
52260;23,07;9618
52320;23,07;9616
52380;23,08;9609
52440;23,08;9606
52500;23,09;9621
52560;23,08;9612
52620;23,09;9624
52680;23,09;9622
52740;23,09;9598
52800;23,09;9618
52860;23,10;9630
52920;23,10;9634
52980;23,10;9621
53040;23,11;9636
53100;23,11;9634
53160;23,11;9633
53220;23,11;9626
53280;23,11;9626
53340;23,12;9641
53400;23,11;9622
53460;23,11;9593
53520;23,11;9577
53580;23,11;9582
53640;23,12;9603
53700;23,12;9611
53760;23,13;9615
53820;23,13;9618
53880;23,12;9602
53940;23,12;9593
54000;23,13;9607
54060;23,13;9612
54120;23,13;9601
54180;23,13;9600
54240;23,14;9605
54300;23,14;9593
54360;23,14;9581
54420;23,14;9591
54480;23,14;9590
54540;23,14;9573
54600;23,14;9574
54660;23,14;9567
54720;23,15;9576
54780;23,16;9612
54840;23,15;9567
54900;23,20;9751
54960;23,21;9788
55020;23,20;9760
55080;23,20;9731
55140;23,20;9723
55200;23,20;9713
55260;23,19;9677
55320;23,19;9687
55380;23,19;9682
55440;23,20;9680
55500;23,20;9673
55560;23,18;9624
55620;23,19;9631
55680;23,19;9634
55740;23,19;9633
55800;23,20;9646
55860;23,19;9618
55920;23,19;9625
55980;23,19;9616
56040;23,20;9617
56100;23,20;9628
56160;23,20;9620
56220;23,20;9610
56280;23,21;9623
56340;23,21;9622
56400;23,21;9603
56460;23,21;9620
56520;23,22;9612
56580;23,21;9596
56640;23,22;9604
56700;23,22;9601
56760;23,22;9604
56820;23,22;9620
56880;23,23;9625
56940;23,23;9614
57000;23,22;9601
57060;23,23;9601
57120;23,23;9601
57180;23,23;9595
57240;23,23;9587
57300;23,23;9589
57360;23,23;9601
57420;23,24;9621
57480;23,23;9584
57540;23,23;9575
57600;23,24;9615
57660;23,25;9614
57720;23,24;9600
57780;23,24;9593
57840;23,24;9587
57900;23,25;9598
57960;23,25;9599
58020;23,26;9621
58080;23,26;9629
58140;23,26;9623
58200;23,26;9627
58260;23,26;9621
58320;23,26;9612
58380;23,26;9607
58440;23,26;9593
58500;23,26;9595
58560;23,27;9607
58620;23,27;9599
58680;23,27;9605
58740;23,28;9628
58800;23,28;9624
58860;23,28;9606
58920;23,28;9604
58980;23,28;9594
59040;23,28;9591
59100;23,28;9569
59160;23,30;9611
59220;23,30;9616
59280;23,30;9598
59340;23,30;9597
59400;23,30;9605
59460;23,29;9596
59520;23,29;9591
59580;23,30;9600
59640;23,29;9579
59700;23,30;9581
59760;23,31;9636
59820;23,32;9655
59880;23,32;9647
59940;23,32;9637
60000;23,32;9625
60060;23,32;9635
60120;23,32;9631
60180;23,32;9616
60240;23,33;9649
60300;23,33;9637
60360;23,33;9645
60420;23,33;9623
60480;23,33;9599
60540;23,34;9642
60600;23,35;9698
60660;23,35;9701
60720;23,35;9670
60780;23,35;9663
60840;23,35;9661
60900;23,35;9662
60960;23,35;9650
61020;23,35;9623
61080;23,36;9675
61140;23,38;9736
61200;23,37;9706
61260;23,37;9681
61320;23,36;9661
61380;23,36;9631
61440;23,36;9625
61500;23,36;9617
61560;23,36;9626
61620;23,36;9624
61680;23,37;9637
61740;23,38;9646
61800;23,38;9644
61860;23,38;9645
61920;23,38;9634
61980;23,38;9659
62040;23,39;9658
62100;23,38;9647
62160;23,39;9652
62220;23,38;9636
62280;23,39;9652
62340;23,38;9613
62400;23,38;9611
62460;23,39;9627
62520;23,39;9607
62580;23,39;9616
62640;23,39;9617
62700;23,40;9631
62760;23,40;9629
62820;23,41;9660
62880;23,41;9668
62940;23,41;9671
63000;23,41;9662
63060;23,41;9654
63120;23,41;9638
63180;23,42;9651
63240;23,42;9659
63300;23,41;9630
63360;23,41;9627
63420;23,41;9616
63480;23,41;9608
63540;23,42;9610
63600;23,41;9596
63660;23,42;9599
63720;23,42;9622
63780;23,43;9631
63840;23,43;9621
63900;23,43;9628
63960;23,43;9624
64020;23,43;9615
64080;23,44;9637
64140;23,44;9640
64200;23,44;9649
64260;23,44;9639
64320;23,44;9621
64380;23,43;9596
64440;23,43;9585
64500;23,46;9664
64560;23,45;9641
64620;23,46;9677
64680;23,46;9662
64740;23,46;9649
64800;23,45;9621
64860;23,46;9670
64920;23,48;9702
64980;23,48;9706
65040;23,48;9695
65100;23,47;9666
65160;23,43;9505
65220;23,42;9477
65280;23,43;9492
65340;23,47;9629
65400;23,49;9724
65460;23,45;9536
65520;23,43;9480
65580;23,40;9365
65640;23,43;9449
65700;23,44;9498
65760;23,45;9524
65820;23,45;9501
65880;23,46;9525
65940;23,46;9524
66000;23,46;9541
66060;23,51;9718
66120;23,53;9776
66180;23,51;9712
66240;23,51;9695
66300;23,51;9710
66360;23,51;9682
66420;23,50;9657
66480;23,50;9620
66540;23,49;9604
66600;23,49;9595
66660;23,49;9599
66720;23,50;9611
66780;23,49;9594
66840;23,50;9593
66900;23,50;9613
66960;23,50;9613
67020;23,50;9609
67080;23,50;9614
67140;23,50;9614
67200;23,51;9620
67260;23,51;9637
67320;23,52;9645
67380;23,51;9631
67440;23,51;9623
67500;23,51;9598
67560;23,52;9632
67620;23,52;9623
67680;23,53;9634
67740;23,53;9641
67800;23,53;9635
67860;23,53;9617
67920;23,53;9625
67980;23,54;9638
68040;23,54;9630
68100;23,53;9611
68160;23,54;9617
68220;23,54;9622
68280;23,54;9622
68340;23,54;9637
68400;23,54;9602
68460;23,54;9592
68520;23,54;9605
68580;23,53;9567
68640;23,54;9586
68700;23,54;9602
68760;23,55;9631
68820;23,56;9650
68880;23,56;9636
68940;23,55;9629
69000;23,56;9628
69060;23,56;9626
69120;23,56;9612
69180;23,55;9589
69240;23,56;9601
69300;23,55;9595
69360;23,56;9604
69420;23,56;9608
69480;23,56;9603
69540;23,57;9614
69600;23,57;9604
69660;23,56;9583
69720;23,57;9595
69780;23,58;9624
69840;23,58;9637
69900;23,58;9629
69960;23,58;9611
70020;23,59;9637
70080;23,58;9624
70140;23,58;9608
70200;23,59;9635
70260;23,57;9538
70320;23,57;9544
70380;23,57;9544
70440;23,63;9769
70500;23,63;9752
70560;23,62;9705
70620;23,61;9697
70680;23,62;9696
70740;23,62;9698
70800;23,62;9708
70860;23,62;9700
70920;23,62;9675
70980;23,62;9690
71040;23,62;9691
71100;23,62;9669
71160;23,62;9677
71220;23,62;9666
71280;23,62;9651
71340;23,61;9634
71400;23,62;9657
71460;23,62;9648
71520;23,62;9650
71580;23,62;9646
71640;23,62;9629
71700;23,63;9650
71760;23,62;9638
71820;23,63;9647
71880;23,63;9628
71940;23,63;9621
72000;23,64;9641
72060;23,63;9624
72120;23,64;9636
72180;23,64;9646
72240;23,65;9652
72300;23,65;9651
72360;23,64;9632
72420;23,64;9630
72480;23,65;9631
72540;23,65;9645
72600;23,65;9644
72660;23,65;9618
72720;23,65;9648
72780;23,65;9632
72840;23,65;9606
72900;23,66;9637
72960;23,65;9619
73020;23,66;9620
73080;23,67;9673
73140;23,68;9702
73200;23,68;9683
73260;23,67;9669
73320;23,67;9658
73380;23,67;9647
73440;23,63;9476
73500;23,63;9458
73560;23,64;9497
73620;23,63;9488
73680;23,65;9534
73740;23,66;9549
73800;23,66;9546
73860;23,66;9569
73920;23,67;9576
73980;23,67;9595
74040;23,67;9600
74100;23,67;9569
74160;23,67;9564
74220;23,68;9608
74280;23,68;9614
74340;23,68;9608
74400;23,68;9584
74460;23,68;9598
74520;23,68;9584
74580;23,69;9608
74640;23,69;9603
74700;23,70;9621
74760;23,70;9617
74820;23,70;9641
74880;23,70;9621
74940;23,70;9621
75000;23,70;9630
75060;23,70;9631
75120;23,70;9628
75180;23,70;9616
75240;23,70;9635
75300;23,71;9641
75360;23,71;9625
75420;23,71;9630
75480;23,70;9605
75540;23,69;9551
75600;23,69;9553
75660;23,71;9611
75720;23,71;9594
75780;23,71;9600
75840;23,71;9582
75900;23,71;9596
75960;23,72;9611
76020;23,72;9613
76080;23,72;9613
76140;23,72;9601
76200;23,72;9615
76260;23,72;9623
76320;23,73;9624
76380;23,73;9612
76440;23,73;9613
76500;23,73;9622
76560;23,73;9605
76620;23,73;9615
76680;23,74;9647
76740;23,74;9638
76800;23,74;9618
76860;23,74;9629
76920;23,75;9645
76980;23,75;9634
77040;23,75;9646
77100;23,75;9636
77160;23,75;9643
77220;23,75;9635
77280;23,75;9611
77340;23,74;9583
77400;23,75;9602
77460;23,75;9595
77520;23,75;9594
77580;23,75;9605
77640;23,75;9603
77700;23,76;9631
77760;23,76;9629
77820;23,76;9625
77880;23,76;9616
77940;23,76;9611
78000;23,77;9627
78060;23,77;9623
78120;23,77;9617
78180;23,77;9613
78240;23,77;9613
78300;23,77;9606
78360;23,77;9596
78420;23,77;9614
78480;23,78;9617
78540;23,78;9638
78600;23,78;9623
78660;23,79;9632
78720;23,79;9643
78780;23,79;9647
78840;23,79;9627
78900;23,78;9594
78960;23,79;9625
79020;23,79;9606
79080;23,79;9636
79140;23,80;9666
79200;23,80;9656
79260;23,80;9645
79320;23,81;9658
79380;23,81;9658
79440;23,80;9640
79500;23,81;9655
79560;23,81;9656
79620;23,81;9637
79680;23,82;9663
79740;23,82;9680
79800;23,81;9661
79860;23,78;9499
79920;23,75;9412
79980;23,85;9780
80040;23,84;9745
80100;23,84;9729
80160;23,84;9712
80220;23,84;9698
80280;23,85;9736
80340;23,85;9743
80400;23,84;9701
80460;23,84;9704
80520;23,84;9703
80580;23,84;9678
80640;23,83;9653
80700;23,84;9669
80760;23,84;9671
80820;23,84;9648
80880;23,84;9663
80940;23,84;9666
81000;23,84;9652
81060;23,84;9654
81120;23,84;9638
81180;23,84;9630
81240;23,85;9653
81300;23,85;9659
81360;23,85;9653
81420;23,85;9646
81480;23,85;9648
81540;23,86;9688
81600;23,82;9516
81660;23,82;9520
81720;23,83;9541
81780;23,83;9543
81840;23,84;9563
81900;23,83;9544
81960;23,84;9584
82020;23,84;9583
82080;23,85;9576
82140;23,85;9603
82200;23,85;9599
82260;23,86;9601
82320;23,86;9595
82380;23,86;9585
82440;23,86;9604
82500;23,87;9610
82560;23,87;9610
82620;23,87;9608
82680;23,87;9603
82740;23,87;9620
82800;23,87;9607
82860;23,87;9608
82920;23,88;9637
82980;23,89;9666
83040;23,89;9654
83100;23,88;9636
83160;23,87;9594
83220;23,88;9620
83280;23,89;9645
83340;23,88;9616
83400;23,88;9609
83460;23,88;9600
83520;23,88;9610
83580;23,88;9602
83640;23,88;9587
83700;23,89;9619
83760;23,90;9645
83820;23,90;9651
83880;23,90;9641
83940;23,91;9666
84000;23,91;9662
84060;23,90;9650
84120;23,91;9657
84180;23,90;9629
84240;23,90;9632
84300;23,91;9646
84360;23,91;9645
84420;23,91;9647
84480;23,91;9619
84540;23,90;9601
84600;23,90;9618
84660;23,91;9633
84720;23,91;9617
84780;23,91;9633
84840;23,91;9630
84900;23,92;9650
84960;23,92;9661
85020;23,92;9630
85080;23,92;9631
85140;23,92;9635
85200;23,92;9639
85260;23,93;9644
85320;23,93;9631
85380;23,93;9632
85440;23,93;9644
85500;23,93;9622
85560;23,92;9601
85620;23,92;9597
85680;23,93;9608
85740;23,93;9613
85800;23,93;9609
85860;23,93;9607
85920;23,93;9631
85980;23,93;9617
86040;23,93;9623
86100;23,93;9611
86160;23,94;9622
86220;23,94;9617
86280;23,94;9629
86340;23,94;9630
86400;23,94;9638
86460;23,95;9654
86520;23,95;9634
86580;23,95;9632
86640;23,95;9643
86700;23,96;9654
86760;23,96;9642
86820;23,96;9641
86880;23,96;9650
86940;23,97;9694
87000;23,97;9655
87060;23,97;9649
87120;23,97;9644
87180;23,97;9665
87240;23,97;9640
87300;23,97;9651
